actor_id,first_name,last_name,last_update_x,film_id,last_update_y,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,PENELOPE,GUINESS,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
10,CHRISTIAN,GABLE,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
20,LUCILLE,TRACY,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
30,SANDRA,PECK,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
40,JOHNNY,CAGE,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
53,MENA,TEMPLE,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
108,WARREN,NOLTE,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
162,OPRAH,KILMER,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
188,ROCK,DUKAKIS,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
198,MARY,KEITEL,2006-02-15 04:34:33,1,2006-02-15 05:05:03,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"{'Deleted Scenes', 'Behind the Scenes'}",2006-02-15 05:03:42
